Filename	HiF	LoF	Species Manual ID	SppAccp	#Maj	#Accp	~Spp	1st	2nd	3rd	4th	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	mean HiFreq	mean LoFreq	mean UpprSlp	mean LwrSlp	mean TotalSlp	mean PrecedingIntvl	ParentDir	NextDirUp	FileLength(sec)	Version	AccpQuality	Max#CallsConsidered
EASTLA1_20140707_171439.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171503.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171511.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171519.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171535.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171559.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171607.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171615.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171623.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171631.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171639.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
