Filename	HiF	LoF	Species Manual ID	SppAccp	#Maj	#Accp	~Spp	1st	2nd	3rd	4th	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	mean HiFreq	mean LoFreq	mean UpprSlp	mean LwrSlp	mean TotalSlp	mean PrecedingIntvl	ParentDir	NextDirUp	FileLength(sec)	Version	AccpQuality	Max#CallsConsidered
CENTER2_20140615_170449.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170521.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170537.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170625.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170633.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170641.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170657.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170705.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170729.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170753.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170801.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170825.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170833.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170841.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170849.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170857.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170945.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_170953.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_171001.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_171025.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_171033.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_171041.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_171105.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_171121.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_171129.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_171137.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_171153.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_171201.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_171209.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
CENTER2_20140615_171225.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	CENTER2_2014_June_shorts_0615_0621	CENTER2_2014_June_shorts	8.00	4.22	0.80	16
